node_id,color,anomaly
0,blue,0
1,blue,0
2,blue,1
3,blue,0
4,orange,0
5,orange,1
6,blue,0
7,blue,0
8,blue,0
9,blue,0
10,orange,0
11,orange,1
12,blue,0
13,blue,0
14,blue,0
15,blue,0
16,orange,0
17,orange,1
18,blue,0
19,blue,0
20,blue,0
21,blue,0
22,orange,0
23,orange,0
24,blue,0
25,blue,0
26,blue,0
27,blue,0
28,orange,0
29,orange,0
30,blue,0
31,blue,0
32,blue,0
33,blue,0
34,orange,0
35,orange,0
36,blue,0
37,blue,0
38,blue,0
39,blue,0
40,orange,0
41,orange,0
42,blue,0
43,blue,0
44,blue,0
45,blue,0
46,orange,0
47,orange,0
48,blue,0
49,blue,0
50,blue,1
51,blue,0
52,orange,0
53,orange,0
54,blue,1
55,blue,0
56,blue,0
57,blue,0
58,orange,0
59,orange,0
60,blue,1
61,blue,0
62,blue,0
63,blue,0
64,orange,0
65,orange,0
66,blue,0
67,blue,0
68,blue,0
69,blue,0
70,orange,0
71,orange,0
72,blue,1
73,blue,0
74,blue,0
75,blue,0
76,orange,0
77,orange,0
78,blue,0
79,blue,0
80,blue,0
81,blue,0
82,orange,0
83,orange,0
84,blue,0
85,blue,1
86,blue,0
87,blue,0
88,orange,0
89,orange,0
90,blue,0
91,blue,0
92,blue,0
93,blue,0
94,orange,0
95,orange,0
96,blue,0
97,blue,0
98,blue,0
99,blue,0
100,orange,0
101,orange,0
102,blue,1
103,blue,0
104,blue,0
105,blue,0
106,orange,0
107,orange,0
108,blue,0
109,blue,1
110,blue,0
111,blue,0
112,orange,1
113,orange,0
114,blue,0
115,blue,0
116,blue,0
117,blue,0
118,orange,0
119,orange,0
120,grey,0
121,grey,0
122,grey,0
123,grey,0
124,grey,0
125,grey,0
126,grey,0
127,grey,0
128,grey,0
129,grey,0
130,grey,0
131,grey,0
132,grey,0
133,grey,0
134,grey,0
135,grey,0
136,grey,0
137,grey,0
138,grey,0
139,grey,0
