source,target
0,4
1,4
2,4
3,4
4,5
6,10
7,10
8,10
9,10
10,11
12,16
13,16
14,16
15,16
16,17
18,22
19,22
20,22
21,22
22,23
24,28
25,28
26,28
27,28
28,29
30,34
31,34
32,34
33,34
34,35
36,40
37,40
38,40
39,40
40,41
42,46
43,46
44,46
45,46
46,47
48,52
49,52
50,52
51,52
52,53
54,58
55,58
56,58
57,58
58,59
60,64
61,64
62,64
63,64
64,65
66,70
67,70
68,70
69,70
70,71
72,76
73,76
74,76
75,76
76,77
78,82
79,82
80,82
81,82
82,83
84,88
85,88
86,88
87,88
88,89
90,94
91,94
92,94
93,94
94,95
96,100
97,100
98,100
99,100
100,101
102,106
103,106
104,106
105,106
106,107
108,112
109,112
110,112
111,112
112,113
114,118
115,118
116,118
117,118
118,119
120,124
121,124
122,124
123,124
124,125
126,130
127,130
128,130
129,130
130,131
132,136
133,136
134,136
135,136
136,137
138,142
139,142
140,142
141,142
142,143
144,148
145,148
146,148
147,148
148,149
150,154
151,154
152,154
153,154
154,155
156,160
157,160
158,160
159,160
160,161
162,166
163,166
164,166
165,166
166,167
168,172
169,172
170,172
171,172
172,173
174,178
175,178
176,178
177,178
178,179
180,184
181,184
182,184
183,184
184,185
186,190
187,190
188,190
189,190
190,191
192,196
193,196
194,196
195,196
196,197
198,202
199,202
200,202
201,202
202,203
204,208
205,208
206,208
207,208
208,209
210,214
211,214
212,214
213,214
214,215
216,220
217,220
218,220
219,220
220,221
222,226
223,226
224,226
225,226
226,227
228,232
229,232
230,232
231,232
232,233
234,238
235,238
236,238
237,238
238,239
212,40
126,198
108,212
98,152
46,200
219,216
221,16
202,19
73,237
143,128
239,195
131,208
78,315
298,318
61,253
232,391
110,276
224,396
422,399
342,290
348,193
394,309
186,280
312,356
53,254
212,427
439,335
182,264
42,388
374,434
38,247
191,349
220,385
361,244
362,69
358,355
172,326
359,180
346,399
404,331
428,23
287,322
301,77
360,135
374,79
22,405
312,333
205,396
360,153
64,249
261,287
280,157
282,328
419,315
391,253
410,275
377,345
86,309
315,370
371,387
178,410
257,285
222,416
53,406
134,340
239,267
287,164
325,29
341,382
369,224
383,397
415,349
425,381
218,329
339,219
26,244
113,249
367,165
386,425
371,391
390,404
362,333
322,117
340,412
381,184
259,344
34,253
265,256
164,353
144,384
209,361
372,248
387,358
143,397
427,183
434,79
354,208
375,2
391,346
265,130
386,20
249,42
415,303
69,331
288,217
395,352
305,297
267,432
173,397
263,309
181,419
309,425
403,203
263,327
304,337
351,278
285,67
396,200
434,321
80,299
247,324
274,201
319,343
320,326
59,380
354,59
93,265
308,217
338,78
342,188
326,369
264,259
276,270
253,128
410,93
381,295
312,43
285,89
296,364
391,345
336,409
395,306
109,376
432,355
113,337
80,312
55,386
408,263
361,349
342,345
18,364
122,314
183,419
51,272
432,220
192,275
357,333
207,385
298,265
136,343
62,394
274,155
183,302
97,360
317,400
241,14
206,303
88,415
302,249
190,435
374,363
157,294
252,37
331,437
270,418
341,231
116,360
6,399
324,407
250,49
247,309
323,429
420,380
341,325
358,405
330,334
433,179
39,270
402,182
347,432
263,271
145,297
350,1
408,271
295,321
115,381
355,390
289,417
34,291
361,433
378,373
382,254
418,424
374,259
393,349
270,269
410,154
264,109
80,297
423,380
277,155
353,312
281,305
291,337
183,395
71,352
349,198
319,435
344,92
338,296
363,380
242,81
332,383
176,392
107,283
434,260
62,379
100,253
231,309
66,349
356,340
17,255
269,43
330,297
67,332
363,330
171,407
374,101
424,358
180,245
11,287
292,297
48,354
369,260
205,265
398,305
421,307
358,278
115,380
239,406
426,260
303,180
381,81
303,418
209,411
405,75
160,387
416,313
388,4
262,264
171,393
280,309
380,396
410,171
370,373
436,318
371,436
257,334
174,327
185,327
99,242
344,320
247,415
397,183
322,436
300,21
61,404
301,242
21,435
423,329
431,351
60,435
350,363
130,378
410,148
245,328
421,423
256,337
354,262
337,429
288,433
311,309
385,347
353,135
296,266
364,382
336,82
372,261
358,97
254,296
270,240
329,326
439,436
413,307
334,252
282,223
182,374
380,377
308,370
112,315
20,250
286,220
352,412
80,380
96,254
319,244
54,337
430,368
405,433
424,19
255,336
311,160
309,227
402,287
404,306
425,11
150,319
401,328
261,406
350,362
159,422
292,268
249,306
292,286
120,430
264,187
44,282
397,177
417,393
243,100
428,411
265,115
370,308
388,213
352,290
291,271
403,85
418,232
429,3
119,344
426,343
434,356
250,108
411,363
412,417
274,56
68,387
161,435
73,331
330,411
423,35
209,350
248,439
203,297
304,111
369,320
260,413
53,358
275,331
55,300
243,369
245,61
246,362
285,115
392,345
306,165
318,405
249,305
407,86
184,432
179,335
388,338
437,114
366,310
377,310
294,303
435,251
437,370
343,34
53,344
313,429
390,374
346,197
163,350
374,286
380,366
369,436
97,413
356,246
381,428
420,258
290,319
245,177
179,330
424,408
357,327
378,121
197,356
333,226
415,435
282,171
342,222
373,438
365,434
288,358
222,385
243,188
374,290
430,289
160,437
189,244
196,396
84,313
294,284
369,287
437,342
392,209
260,389
314,369
430,410
251,188
242,359
260,407
434,282
362,284
357,178
194,300
368,373
29,251
437,216
350,157
187,279
305,262
439,24
384,326
255,23
240,34
43,432
113,366
85,258
103,294
147,251
434,421
269,186
408,292
249,366
240,308
244,269
92,428
406,349
331,17
427,152
403,42
259,25
329,349
85,388
308,326
395,294
339,304
347,394
58,291
139,377
107,403
86,380
58,309
262,304
343,149
326,316
51,269
247,190
275,279
316,289
438,413
336,356
105,380
400,377
140,310
269,293
389,395
112,257
340,353
252,380
296,423
376,321
419,264
251,308
320,380
324,103
141,432
421,337
179,395
350,295
74,351
356,338
242,362
226,256
348,343
407,2
365,5
106,428
149,408
95,437
339,388
293,281
356,50
433,32
396,379
414,37
285,26
364,408
281,410
179,399
422,306
341,43
393,81
366,365
232,383
329,334
92,269
275,363
413,315
427,222
281,266
175,294
176,259
362,111
331,123
63,318
151,421
366,257
6,341
186,308
360,433
273,47
387,316
245,223
42,389
258,269
414,400
244,388
269,134
76,395
264,366
109,429
346,265
406,288
143,323
261,68
35,241
259,373
34,273
319,9
436,405
193,409
364,169
390,307
324,371
